Billy Martin,118,0,113,48,178,24.14510609,1,0,0,0,0,0,0,0,0,0,-2,0.4247787610619469,0,0,0,0,0,100461
George Hardie,146,0,53,15,0,27.99178645,0,0,0,0,0,0,0,0,0,0,0,0.2830188679245283,0,0,0,0,0,100298
Tom Edlefsen,95,0,3,0,188,32.63244353,1,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0,0,0,100061
Tom Leonard,467,0,28,13,175,33.7412731,1,0,0,0,0,0,0,0,0,0,0,0.4642857142857143,0,0,0,0,0,100163
Woody Blocher,156,0,11,3,173,26.436687199999998,1,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0,0,0,0,100250
Victor Amaya,58,0,123,51,201,28.5065024,0,0,0,0,0,0,0,0,0,0,0,0.4146341463414634,0,0,0,0,0,100339
Armistead Neely,172,0,11,3,0,29.08418891,1,0,0,0,0,0,0,0,0,0,-2,0.2727272727272727,0,0,0,0,0,100132
John Whitlinger,167,0,45,14,180,23.98631075,1,0,0,0,0,0,0,0,0,0,-1,0.3111111111111111,0,0,0,0,0,100324
Roy Barth,147,0,4,1,175,27.33744011,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,100134
Brian Teacher,73,0,283,156,190,31.67145791,1,0,0,0,0,0,0,0,0,0,-1,0.5512367491166078,0,0,0,0,0,100360
Steve Turner,105,0,18,4,0,29.80971937,1,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0,0,100124
James Chico Hagey,191,0,22,8,0,25.15811088,1,0,0,0,0,0,0,0,0,0,-2,0.36363636363636365,0,0,0,0,0,100299
John Andrews,70,0,26,10,0,24.12594114,1,0,0,0,0,0,0,0,0,0,-3,0.38461538461538464,0,0,0,0,0,100263
John Alexander,390,0,264,128,190,34.39561944,1,0,0,0,0,0,0,0,0,0,-11,0.48484848484848486,0,0,0,0,0,100244
Pat Dupre,269,0,136,58,190,29.94661191,1,0,0,0,0,0,0,0,0,0,-2,0.4264705882352941,0,0,0,0,0,100345
Keith Hancock,126,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0,0,0,107488
Humphrey Hose,199,0,9,3,0,29.52772074,0.5,0,0,0,0,0,0,0,0,0,1,0.3333333333333333,0,0,0,0,0,100136
Felix Ponte,177,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0,0,0,106996
Norman Holmes,70,0,34,8,0,26.84188912,1,0,0,0,0,0,0,0,0,0,-3,0.23529411764705882,0,0,0,0,0,100190
Jim Delaney,269,0,77,29,0,27.93429158,1,0,0,0,0,0,0,0,0,0,-1,0.37662337662337664,0,0,0,0,0,100301
William Higgins,162,0,4,2,0,32.34223135,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,100063
Jean Francois Caujolle,101,0,53,19,0,29.2019165,0,0,0,0,0,0,0,0,0,0,-1,0.3584905660377358,0,0,0,0,0,100271
Rick Fisher,215,0,29,5,0,29.81245722,1,0,0,0,0,0,0,0,0,0,-3,0.1724137931034483,0,0,0,0,0,100238
Henry Bunis,163,0,37,12,0,24.84599589,1,0,0,0,0,0,0,0,0,0,-5,0.32432432432432434,0,0,0,0,0,100303
Terry Moor,582,0,217,102,178,34.798083500000004,0,0,0,0,0,0,0,0,0,0,0,0.4700460829493088,0,0,0,0,0,100276
Patrick Hombergen,397,0,6,0,0,31.52087611,1,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0,0,0,100123
Boro Jovanovic,78,0,2,0,0,34.74332649,1,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0,0,0,100039
Bernard Mignot,108,0,17,6,0,27.40588638,1,0,0,0,0,0,0,0,0,0,-3,0.35294117647058826,0,0,0,0,0,100170
Ulrich Pinner,120,0,96,44,0,28.90349076,1,0,0,0,0,0,0,0,0,0,-2,0.4583333333333333,0,0,0,0,0,100325
Szabolcz Baranyi,205,0,10,3,0,32.30663929,1,0,0,0,0,0,0,0,0,0,-3,0.3,0,0,0,0,0,100080
Steve Faulk,144,0,2,0,0,27.17864476,1,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0,0,0,100140
Thierry Bernasconi,237,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,108374
Anatoli Volkov,163,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,106517
Eric Deblicker,128,0,55,23,0,29.10335387,1,0,0,0,0,0,0,0,0,0,0,0.41818181818181815,0,0,0,0,0,100274
Graeme Thomson,282,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0,0,0,107123
Jan Pisecky,112,0,4,1,0,0.0,1,0,0,0,0,0,0,0,0,0,-2,0.25,0,0,0,0,0,107277
Daniel Contet,373,0,3,0,0,32.57494867,1,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0,0,0,100077
Piero Toci,222,0,4,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0,0,0,108012
Jean Loup Rouyer,161,0,3,2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,107309
Pierre Joly,256,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,108017
Jose Mandarino,120,0,12,3,173,35.00616016,1,0,0,0,0,0,0,0,0,0,-1,0.25,0,0,0,0,0,100054
