Rank,Career Win %,Career Double Fault %,Career Ace %,Career Break Point Saved %,Career Won against Top 10 %,Career Won on Hard Court %,Career Won on Clay Court %,Career Ace Against %,Career First Serve Points Return Won %,Career Points Won %,Current Year Win %,Current Year Double Fault %,Current Year Ace %,Current Year Break Point Saved %,Current Year Won against Top 10 %,Current Year Won on Hard Court %,Current Year Won on Clay Court %,Current Year Ace Against %,Current Year First Serve Points Return Won %,Current Year Points Won %,Score
119,-0.479452055,1.130919646,-1.543079743,4.748971193,-0.04,-0.4,0,-1.367799811,0.088213067,-0.902248062,-0.54,-5.116772824,-19.1656051,2.237704918,0,0,0,-21.544,0.056057709,0,2
62,0.047359269,-0.028108419,-0.228542518,-0.471974402,0.06404321,0.067526384,-0.047414766,-0.253243469,-0.059677582,0.010494017,0.224858757,3.408474576,14.1299435,0.058025423,0,0,0,0.368234536,-0.047652355,0,-2
132,-0.61047836,-0.057130796,-0.205938226,-0.839166046,-0.219512195,-0.627615063,-0.634615385,-0.186213499,-0.325128895,-0.464731586,-0.578125,-2.021164021,-20.7989418,-3.533018868,0,0,0,-17.93103448,-0.379366369,0,2
237,-0.016445623,0.029750563,0.021679586,-0.130296004,0.041666667,0.157066052,-0.406028369,-0.102148598,0.013736018,-0.020126834,-0.056022409,-0.790666667,-3.628,-0.991065292,0,0,0,-14.44550562,0.012301604,0,-1
32,0.032336656,-0.0181272,-0.357621954,-0.277409414,-0.006993007,0.085714286,0.102272727,-0.317838883,-0.029938106,0.020587156,-0.063405797,-1.249980628,-17.9956606,-0.496323529,0,0,0,-3.765790254,0.022492698,0,-1
-149,0.484210526,0.074554575,0.333246843,1.002994012,0.103448276,0.467532468,0.465116279,0.366233291,0.326077056,0.475893969,0.538461538,0.943708609,11.18874172,2.798418972,0,0,0,18.64779874,0.386,0,-2
-164,0.023483366,0.122529112,1.023179747,0.832857143,-0.25,-0.020833333,0.428571429,0.829545268,0.020983399,-0.031354176,0.510204082,2.124822695,16.61702128,0.763113367,0,0,0,-3.379518072,-0.151907665,0,2
-128,0.073726845,0.004731799,0.041497193,0.10195889,0.142857143,-0.002613781,0.090229651,0.028697957,0.010765063,-0.007388769,0.056092843,-0.188459602,3.44745784,0.837892604,0,0,0,3.343406593,-0.017947088,0,2
-20,0.221389305,-0.064266745,-0.216043097,-0.641467691,0.050724638,0.236044657,0.194444444,-0.564823979,-0.064723481,0.006616977,0.168699187,1.313313313,0.03953954,0.32942199,0,0,0,-3.525888548,-0.029689158,0,-1
-76,0.466666667,0.369096974,1.460832567,1.448717949,0,0.416666667,0.5,1.226930475,0.193402531,-0.181173312,0.5,1.814393939,7.5,3.625,0,0,0,13.98230088,0.372391066,0,1
-55,0.088235294,0.512590974,7.009676232,0.880516002,0,0,0,4.438356164,0.013518737,-0.268304375,0.023809524,0.702631579,7.828947368,0.602321759,0,0,0,-9.631086142,-0.005594978,0,2
-26,0.03003003,0.043985196,-0.744699076,-0.011359974,0.105263158,0.22826087,0.368421053,-0.376531857,-0.024700962,-0.002804,-0.066666667,2.49247606,-23.44528044,0.882988436,0,0,0,9.629531388,-0.009158409,0,-1
-739,0.467811159,0.056195302,0.238862933,0.832535885,0.064516129,0.448275862,0.476190476,0.215629429,0.30473836,0.46690973,0.526315789,2.972972973,18.72972973,3.006578947,0,0,0,17.3984375,0.381219341,0,2
159,-0.4375,-1.785968661,-25.26032764,-3.00310559,0,0,0,-25.14961598,-0.185714286,0.867529065,-0.4375,-1.814814815,-25.48148148,-3.717391304,0,0,0,-25.25714286,-0.369047619,0,-2
-161,0.030903242,0.499710649,1.447827451,2.607430191,-0.096363636,-0.066063348,-0.369047619,1.280739472,0.016462097,-0.250475954,0.085454545,3.366772824,4.748938429,3.030587765,0,0,0,0.477333333,-0.053121039,0,2
50,-0.380952381,1.554478301,-0.763157895,6.233009709,0,-0.428571429,-0.5,-1.145374449,0.024677813,-1.123544785,-0.333333333,0.340136054,-10.59183673,4.581395349,0,0,0,-25.13793103,0.009066339,0,1
-46,0.197122302,-0.010087908,-0.075117793,-0.174972034,0.209876543,0.360079576,-0.004480956,-0.224423509,-0.074139633,-0.009027073,0.321568627,4.639130435,16.86956522,-0.0447567,0,0,0,-0.435795455,-0.03202153,0,2
-218,0.549763033,0.051453316,0.302726607,0.905627706,0.145833333,0.542553191,0.581395349,0.20243288,0.240098669,-0.073387597,0.508474576,2.491525424,21.8700565,3.307053942,0,0,0,17.85051546,0.386573638,0,2
52,-0.578947368,-0.067219917,-0.666390041,-1,-0.333333333,-0.5,-0.647058824,-0.257314974,-0.325768668,-0.474862695,-0.7,-1.03125,-23.8125,-1.941176471,0,0,0,-12.57894737,-0.366085578,0,-1
243,-0.087473087,0.022609219,-0.02996646,-0.092243307,0.009615385,0.071217628,-0.476666667,0.009840801,-0.009025212,-0.001475266,-0.173669468,0.371945946,-7.294216216,-0.204398625,0,0,0,-3.183740912,0.023697774,0,2
479,-0.390804598,-0.041012658,-0.096033755,-0.853873239,-0.083333333,-0.238095238,-0.489361702,-0.31567645,-0.283195971,-0.493529054,-0.294117647,-1.966666667,-8.3,-3.733333333,0,0,0,-32.85,-0.38280543,0,-2
-44,0.076190476,-0.101032687,-0.623868506,-0.587289759,0.045454545,0.342857143,0.272727273,-0.410110009,-0.007868474,0.076326101,0.041666667,0.725842697,14.38876404,-1.329166667,0,0,0,7.751599147,0.006039093,0,1
-87,0.441860465,0.075962065,0.33558271,1.063872255,0.038461538,0.428571429,0.375,0.314156371,0.30219342,0.469794613,0.47826087,2.075862069,16.99310345,2.774509804,0,0,0,17.27152318,0.392168154,0,1
87,-0.380952381,-0.034973325,-0.068168346,-0.757961783,0,0,-0.466666667,-0.198560288,-0.286458333,-0.485390578,0,-1.666666667,-1.833333333,-2.555555556,0,0,0,-73,-0.293706294,0,2
106,0.428571429,0.021665706,0.052599061,-0.232307692,0.25,0.333333333,0,-0.502675277,0.049254902,-0.033720223,0,0.4,-0.714285714,-1,0,0,0,-26.5,0.262106703,0,2
-20,-0.211382114,0.014072294,0.280901625,0.293989411,-0.163265306,-0.435684647,-0.348484848,0.501689877,-0.001943633,-0.007336465,0.045454545,-0.59137931,27.28103448,-0.497946995,0,0,0,7.61451049,-0.000188517,0,-2
11,0.118442292,0.002187743,0.06954822,0.112560297,0.203558346,0.14735658,0.094392155,0.009214369,-0.015698569,-0.001735465,0.056092843,1.242919708,0.396423358,0.58071025,0,0,0,0.224667774,-0.032118478,0,2
85,-0.12789337,0.03074317,0.045370793,0.162506511,-0.217391304,-0.098789755,0.003831418,0.191897828,0.061943647,-0.017394538,-0.25203252,-2.146051712,1.826345213,-1.822333001,0,0,0,0.823007603,0.04664166,0,-1
27,0.126666667,-0.049992696,0.0762792,-0.239779292,-0.166666667,0.095238095,0.211538462,-0.088729395,0.000631308,0.006066424,0.070512821,-1.953758446,3.266680743,-1.604140957,0,0,0,4.637538172,0.005688977,0,-1
53,-0.416666667,-0.181944444,-2.420238095,-1.39047619,0,-0.333333333,0,-1.512280702,-0.205079552,0.10681921,-0.5,-1.459459459,-18.91891892,-2.673469388,0,0,0,-16.10714286,-0.396530359,0,1
-5,-0.103386809,0.12417522,1.81025101,1.334593673,-0.25,-0.333333333,-0.6,2.676804124,0.003200104,-0.065430492,0,0.95,12.15,0.867741935,0,0,0,3.333333333,0.072753746,0,1
31,0.094856235,-0.020197899,-1.211827029,-0.766543638,0.094339623,0.204038997,0.51372549,-0.920232486,-0.050665529,0.020129604,-0.058139535,1.460633484,-26.04027149,0.41961478,0,0,0,6.423971377,-0.010165637,0,-2
-268,0.210585586,0.077237734,0.48761421,0.878633679,0.105263158,0.411594203,0.368421053,0.604164816,0.069939406,-0.039270563,0.433333333,3.139534884,19.84883721,3.411290323,0,0,0,24.65517241,0.379992535,0,1
-48,0.030311159,-0.138399293,-0.939515445,-1.485645933,0.064516129,0.073275862,0.476190476,-0.804686598,-0.021268966,0.100366065,0.026315789,-1.152027027,-6.02027027,-0.386278195,0,0,0,3.931770833,0.01869745,0,2
